URL,Coin,Symbol,Market
stktoken.com,STK Token,STK,Cryptocurrency
genieico.net,Crowd Genie,CGCOIN,Financial Services
fortknoxster.com,"FortKnoxster Pre-sale, FortKnoxster",FKX,Communications/Mobile
propsproject.com,PROPS,PROPS,Cryptosecurity
tokenpay.com,"TokenPay, Token pay",TPAY,Cryptocurrency
hadeplatform.com,"Hade Platform, HadeLea",HADE,Cryptocurrency
herotoken.io,"HERO Token Pre-sale, HERO Token",HERO,Financial Services
crypto.tickets,Crypto.tickets,TKT,Decentralized Marketplace/Commerce
polkadot.network,"Polkadot, Polkadot",DOT,"Currency: Anonymous,DAOs"
crowdsale.exmo.com,EXMO Coin,EXO,Investment and Trading
undal.tech,Undal Prime Token,UPT,Manufacturing
podbum.com,PODBUM,PODBUM,"Decentralized Marketplace/Commerce,Media/News/Content"
science.tokenhub.com,"Science, Science Blockchain",SCI,Crowdfunding/Crowdsourcing
quantadex.com,"QUANTA - Comunity Driven Decentralized Crypto Exchange, Quant Network",QNT,Investment and Trading
kinekt.technology,Kinekt Terminals,XKN,"AI,Payment Systems"
suscoins.com,SusCoin,SUS,Currency: Anonymous
menlo.one,"Menlo, The Memessenger",MET,Social Media
coti.io,COTI Network,XCT,Payment Systems
liquidity.network,Liquidity Network,LQD,DAOs
myztic.cash,Myztic,MZT,Currency: Reserve
vvcoin.io,VV Coin,VVI,Travel and Tourism
vectorzilla.io,"VectorZilla, Vezt",VZT,AI
cvproof.com,"CVProof, CrowdPainting",INK,Identity Protection/Privacy/Reputation
iotex.io,IoTeX,IOTX,DAOs
cryptocurve.io,CryptoCurve,CURV,DAOs
artis.eco,"ATS, Authorship",ATS,Internet and Infrastructure
greeneum.net,Greeneum,GREEN,Energy and Utilities
investinbrokers.com,"Invest in Brokers, Invacio",INV,Investment and Trading
swissrealcoin.io,"SwissRealCoin, SRcoin, Back to Earth",SRC,Real Estate
phantasma.io,Phantasma Protocol,SOUL,Media/News/Content
cprop.io,CPROP,CPROP,Real Estate
asuracoin.io,Asura Coin,ASA,"eSports,Gaming Currencies"
hupplat.io,Hupplat,HUP,Education
aqwire.io,AqWire,QEY,Real Estate
cryptoflix.io,CryptoFlix,FLIX,"Education,Media/News/Content"
xchangeapps.com,Xchange Token,XCO,Sharing Economy: Other
aigotoken.ai,Aigo,AIGO,AI
sentinelprotocol.io,Sentinel Protocol,UPP,Security and Protection
bitcoininterest.io,Bitcoin interest,BCI,Payment Systems
bittixbuilder.com,BitTix,BTX,Media/News/Content
pedity.com,Pedity,PEDI,Rewards Programs
owlstand.com,Owlstand token,OWD,Decentralized Marketplace/Commerce
hold.co,HOLD,HOLD,Financial Services
optcoin.io,Optcoin,OTN,Ad Tech
diwtoken.com,DIW Token,DIW,Security and Protection
bezant.io,Bezant,BZNT,Payments
safinus.com,Safinus,SAF,Investment and Trading
cryptonsgame.com,Cryptons Game,QST,"eSports,Gaming Currencies"
ico.uhive.io,Uhive,HVE,Social Media
gochain.io,GoChain,GOC,Blockchain Service
vesa.io,Vesa Token,VSA,"Platform,Cryptocurrency"
lapo.io,LAPO,LAX,Financial Services
